air_temp,rh,soil_moisture,soil_temp,co2,outside_temp,hour,dli_so_far,cool_trigger,cool_target,heat_trigger,rh_high,rh_low,sm_low,co2_trigger,fan,vent,mister,heater,irrigation,lights,co2_inject,fan_min,mister_min,heater_min,irrigation_min,lights_min,co2_min
12.4,60.3,50.9,19.2,851.0,5.9,14,10.89,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,59.3,50.3,17.6,994.0,27.0,18,16.88,25.8,23.8,13.8,91.4,57.3,50.6,721.0,0,0,0,0,1,0,0,0,0,0,25,0,0
11.6,53.5,27.7,23.9,283.0,9.5,14,9.71,25.5,23.5,12.2,86.2,63.2,46.2,629.0,0,0,1,1,1,0,1,0,20,20,40,0,20
30.3,61.2,36.5,25.7,707.0,29.3,5,0.0,27.2,25.2,11.5,92.0,63.5,40.9,636.0,2,1,1,0,0,0,0,35,20,0,0,0,0
30.7,85.6,26.2,22.7,711.0,26.6,13,4.39,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,0,0,1,0,0,15,0,0,45,0,0
32.4,54.3,93.8,23.7,685.0,31.2,18,16.67,28.3,26.3,10.9,86.9,58.7,47.3,665.0,2,1,1,0,0,0,0,40,20,0,0,0,0
11.5,59.2,47.6,24.6,1496.0,35.0,22,16.52,29.4,27.4,10.0,90.9,57.0,53.9,772.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7,58.0,54.6,23.7,1537.0,8.9,17,10.42,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,1,1,0,0,0,15,15,25,0,0,0
18.3,93.4,78.3,26.0,814.0,14.7,4,0.0,31.5,29.5,8.8,85.9,55.9,53.2,684.0,1,1,0,0,0,0,0,25,0,0,0,0,0
33.7,96.8,24.8,22.4,810.0,37.1,16,8.94,30.1,28.1,11.9,92.5,62.8,49.6,675.0,2,1,0,0,1,0,0,35,0,0,45,0,0
26.4,91.6,51.1,23.8,615.0,37.0,23,4.81,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,0,0,0,0,15,0,0,0,0,0
8.6,93.3,17.4,23.8,472.0,8.9,3,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,1,0,0,20,0,30,45,0,0
42.1,85.2,72.9,18.7,332.0,44.5,15,4.23,25.4,23.4,12.2,91.4,57.4,57.0,611.0,3,1,0,0,0,0,0,60,0,0,0,0,0
29.6,55.9,51.6,25.7,1438.0,26.1,0,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,1,0,0,0,0,15,15,0,0,0,0
28.1,80.5,68.9,30.3,419.0,26.5,12,2.64,31.9,29.9,11.2,91.3,61.4,51.4,629.0,0,0,0,0,0,0,1,0,0,0,0,0,15
8.8,59.9,47.0,20.9,748.0,7.2,7,1.17,27.1,25.1,11.0,89.9,61.3,48.2,682.0,0,0,1,1,1,0,0,0,15,25,25,0,0
40.5,94.9,56.8,24.4,940.0,34.0,11,1.76,30.5,28.5,11.8,88.5,61.3,47.2,703.0,3,2,0,0,0,0,0,20,0,0,0,0,0
28.9,92.8,42.7,25.6,680.0,36.4,1,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,0,0,0,0,0,20,0,0,0,0,0
30.6,35.7,32.4,21.3,431.0,31.2,18,17.26,27.6,25.6,14.7,93.0,62.7,46.2,738.0,2,1,1,0,1,0,0,35,30,0,35,0,0
11.1,94.4,50.5,9.1,794.0,5.0,9,1.74,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,0,0,0,20,0,90,0,0,0
31.0,78.6,78.3,19.6,818.0,30.6,10,5.36,28.4,26.4,12.1,88.9,55.8,44.9,769.0,2,1,1,0,0,0,0,30,15,0,0,0,0
28.5,90.3,43.3,23.1,725.0,25.2,10,2.01,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,0,1,0,0,20,0,0,30,0,0
24.5,93.0,40.4,17.4,1575.0,23.0,21,16.29,26.3,24.3,8.2,92.4,59.5,46.2,720.0,1,1,0,0,0,0,0,15,0,0,0,0,0
9.6,57.5,50.9,20.3,627.0,13.9,14,3.4,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,1,0,0,1,0,15,30,0,0,10
8.4,71.1,81.6,17.9,958.0,5.0,23,14.48,30.4,28.4,11.4,92.9,59.6,59.6,682.0,0,0,0,1,0,0,0,0,0,30,0,0,0
34.6,87.1,19.1,19.5,1214.0,15.1,0,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,3,2,0,0,1,0,0,15,0,0,45,0,0
12.1,62.6,46.2,32.0,1535.0,5.0,20,8.04,31.3,29.3,12.7,86.9,63.5,47.0,771.0,1,1,1,1,0,0,0,15,15,20,0,0,0
24.9,43.7,45.3,26.9,563.0,18.4,4,0.0,26.0,24.0,12.0,93.0,62.0,51.9,678.0,0,0,1,0,0,0,0,0,25,0,0,0,0
16.4,93.3,34.5,23.1,1027.0,5.0,12,4.04,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,1,0,0,20,0,20,35,0,0
22.5,66.0,97.6,25.2,952.0,34.7,12,2.37,27.3,25.3,9.1,92.0,57.8,51.2,758.0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.8,54.8,63.7,18.1,606.0,26.5,1,0.0,31.7,29.7,11.6,88.5,55.4,59.2,621.0,0,0,1,0,0,0,0,0,15,0,0,0,0
18.3,63.0,79.8,18.3,508.0,6.2,6,0.0,27.8,25.8,10.9,85.0,56.1,57.3,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.8,64.4,46.2,14.6,474.0,33.6,11,1.28,31.5,29.5,8.3,88.7,62.1,43.0,609.0,2,1,1,0,0,0,0,15,10,0,0,0,0
11.5,85.2,86.0,16.7,1674.0,16.7,2,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,0,0,0,15,0,20,0,0,0
30.8,55.3,53.1,22.0,720.0,28.8,17,4.99,30.6,28.6,12.2,86.7,59.1,46.4,616.0,1,1,1,0,0,1,0,30,15,0,0,240,0
40.9,92.2,59.5,23.6,519.0,32.9,9,4.3,26.2,24.2,11.6,92.9,55.0,40.3,799.0,3,2,0,0,0,0,0,25,0,0,0,0,0
32.1,82.2,62.1,19.7,1087.0,30.0,3,0.0,29.2,27.2,9.6,92.0,57.5,52.2,711.0,2,1,0,0,0,0,0,30,0,0,0,0,0
23.4,82.6,43.1,23.6,794.0,25.2,16,10.57,25.7,23.7,14.2,88.2,61.8,43.0,792.0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.2,55.7,44.6,25.9,1522.0,14.6,5,0.0,31.3,29.3,14.1,91.4,56.0,44.1,749.0,1,1,1,0,0,0,0,15,15,0,0,0,0
8.6,88.0,43.6,19.7,695.0,5.0,0,0.0,26.4,24.4,10.6,88.2,56.3,43.3,737.0,0,0,0,1,0,0,0,0,0,25,0,0,0
14.6,62.8,37.8,20.3,1430.0,12.8,7,0.39,28.4,26.4,14.7,90.2,60.0,42.2,650.0,0,0,0,1,1,0,0,0,0,20,25,0,0
11.6,51.5,28.3,23.6,767.0,10.5,9,3.98,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,1,1,0,0,0,20,20,40,0,0
16.1,59.3,44.9,19.5,635.0,14.7,13,8.79,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,0,1,0,1,0,15,0,30,0,10
18.6,69.5,35.6,21.3,500.0,37.2,6,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,1,0,0,0,0,0,35,0,0
27.2,48.5,36.0,26.8,434.0,23.0,3,0.0,28.8,26.8,11.0,86.1,56.3,59.0,696.0,0,0,1,0,1,0,0,0,20,0,40,0,0
18.7,38.3,43.4,22.5,798.0,17.3,3,0.0,26.3,24.3,14.9,91.5,62.4,49.4,631.0,0,0,1,0,0,0,0,0,30,0,0,0,0
15.4,84.2,45.0,23.9,1566.0,6.8,18,8.83,25.0,23.0,15.0,87.2,55.6,49.2,626.0,1,1,0,0,1,0,0,15,0,0,25,0,0
31.4,54.7,93.6,22.5,891.0,29.8,10,6.14,29.7,27.7,13.9,85.3,59.5,57.8,750.0,2,1,1,0,0,0,0,25,15,0,0,0,0
31.2,78.1,16.6,17.9,458.0,21.6,12,2.6,29.5,27.5,10.4,88.3,59.4,42.5,618.0,2,1,1,0,1,0,0,10,5,0,45,0,0
29.4,51.6,66.9,19.9,1081.0,24.4,18,17.88,26.0,24.0,10.0,90.4,64.1,44.1,708.0,2,1,1,0,0,0,0,15,20,0,0,0,0
18.4,50.9,90.8,22.4,975.0,33.6,22,11.17,28.1,26.1,14.6,91.8,58.2,50.9,698.0,0,0,1,0,0,0,0,0,15,0,0,0,0
14.8,57.4,47.4,17.5,709.0,18.5,15,7.22,26.7,24.7,12.5,87.3,57.6,51.7,682.0,0,0,1,0,1,0,0,0,15,0,25,0,0
30.6,88.2,55.7,22.4,1515.0,29.4,22,14.28,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,0,0,0,0,0,30,0,0,0,0,0
45.0,68.6,22.9,24.4,1081.0,45.0,0,0.0,30.8,28.8,9.2,88.4,60.5,50.0,737.0,3,1,1,0,1,0,0,60,30,0,45,0,0
24.7,93.0,26.9,23.8,377.0,23.1,23,3.01,30.5,28.5,13.8,91.6,59.2,46.4,750.0,1,1,0,0,1,0,0,15,0,0,40,0,0
26.6,88.2,22.7,22.0,890.0,23.7,6,0.0,30.4,28.4,8.2,90.2,63.2,43.4,629.0,0,0,0,0,1,0,0,0,0,0,40,0,0
26.9,59.1,42.8,28.9,1542.0,23.9,19,6.27,26.5,24.5,9.5,91.0,56.2,41.7,635.0,1,1,1,0,0,0,0,20,10,0,0,0,0
6.1,38.2,64.9,21.5,508.0,5.0,15,7.16,29.6,27.6,10.0,90.9,60.7,51.0,766.0,0,0,1,1,0,0,1,0,25,35,0,0,15
10.9,61.4,47.4,29.8,660.0,16.5,14,4.22,28.7,26.7,10.2,89.5,61.8,41.3,600.0,0,0,1,0,0,0,0,0,15,0,0,0,0
19.4,38.6,44.7,10.4,1196.0,15.7,4,0.0,26.5,24.5,8.7,86.7,59.2,43.5,627.0,0,0,1,1,0,0,0,0,25,80,0,0,0
6.8,61.1,41.9,20.0,761.0,19.3,7,0.95,29.3,27.3,8.9,91.8,62.5,56.4,705.0,0,0,1,1,1,0,0,0,15,25,35,0,0
28.4,43.3,41.7,19.9,410.0,29.7,19,10.34,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,1,0,0,0,0,15,25,0,0,0,0
31.4,71.0,41.6,22.4,603.0,26.4,9,1.66,31.5,29.5,14.5,88.1,58.3,49.0,714.0,0,0,0,0,1,0,1,0,0,0,30,0,10
9.1,89.7,52.0,26.8,1464.0,7.5,15,13.11,30.3,28.3,9.8,91.6,64.3,51.9,734.0,0,0,0,1,0,0,0,0,0,20,0,0,0
11.4,85.4,56.2,18.1,1072.0,36.4,1,0.0,28.3,26.3,8.0,91.3,58.3,57.6,675.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.8,62.1,24.8,8.6,970.0,19.1,6,0.0,25.7,23.7,13.7,88.9,60.6,59.6,721.0,0,0,0,1,1,0,0,0,0,90,45,0,0
13.6,44.1,30.6,31.4,377.0,25.1,23,4.37,29.8,27.8,9.1,90.3,58.8,52.4,608.0,0,0,1,0,1,0,0,0,20,0,40,0,0
43.3,37.6,73.6,10.8,1022.0,42.6,12,2.01,31.1,29.1,12.4,88.4,59.3,40.7,707.0,3,1,1,1,0,0,0,55,30,75,0,0,0
11.0,59.2,48.5,23.5,1555.0,22.8,17,17.78,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,1,1,1,0,0,15,15,20,25,0,0
14.1,92.5,62.7,15.0,1574.0,9.8,22,9.66,31.1,29.1,13.0,91.6,64.8,56.8,789.0,1,1,0,1,0,0,0,15,0,15,0,0,0
29.2,63.8,54.5,20.0,522.0,24.9,20,6.32,25.5,23.5,13.5,88.6,64.3,52.2,607.0,2,1,1,0,0,0,0,20,15,0,0,0,0
18.9,40.9,33.8,23.6,1057.0,15.0,14,5.63,31.4,29.4,11.8,90.0,57.0,56.0,724.0,0,0,1,0,1,0,0,0,25,0,40,0,0
7.7,87.5,43.1,23.4,1323.0,9.2,22,13.08,29.7,27.7,11.0,86.8,62.2,43.4,787.0,1,1,0,1,0,0,0,15,0,30,0,0,0
8.2,58.5,63.8,25.9,833.0,12.3,10,6.44,29.5,27.5,8.4,92.9,59.7,57.9,695.0,0,0,1,1,0,0,0,0,15,20,0,0,0
10.2,47.9,67.0,11.7,1016.0,15.6,15,4.77,28.0,26.0,13.7,89.0,62.4,49.2,643.0,0,0,1,1,0,0,0,0,20,65,0,0,0
15.9,55.0,25.6,17.4,864.0,8.5,19,16.86,28.7,26.7,14.2,91.1,62.1,43.5,672.0,0,0,1,0,1,0,0,0,15,0,40,0,0
13.7,57.2,49.6,19.1,732.0,5.0,3,0.0,30.7,28.7,9.7,87.9,56.8,49.3,678.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,36.0,54.6,10.6,626.0,9.2,10,2.28,31.1,29.1,15.0,89.9,63.9,58.2,758.0,0,0,1,1,1,0,1,0,30,75,25,0,10
39.9,92.8,41.1,18.8,514.0,36.0,18,8.04,28.0,26.0,12.0,90.0,60.0,50.0,700.0,3,2,0,0,1,1,0,30,0,0,30,60,0
10.0,92.2,55.1,17.3,1451.0,20.9,23,7.5,26.4,24.4,8.4,92.6,59.0,56.7,736.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.9,84.6,49.0,15.5,758.0,17.2,3,0.0,28.0,26.0,9.8,91.2,62.7,47.6,767.0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,61.2,91.6,16.3,1381.0,23.0,4,0.0,26.4,24.4,10.9,88.8,63.6,52.8,738.0,0,0,1,0,0,0,0,0,15,0,0,0,0
25.6,71.7,38.2,25.0,674.0,25.0,6,0.0,27.0,25.0,13.6,92.3,63.0,45.3,655.0,0,0,0,0,1,0,0,0,0,0,30,0,0
14.1,38.3,87.0,26.3,795.0,11.0,5,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,0,0,0,0,0,25,0,0,0,0
11.8,90.6,59.7,20.5,1458.0,21.2,20,11.89,31.1,29.1,11.7,91.0,63.2,55.0,658.0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,99.1,22.8,15.6,1000.0,18.2,9,4.51,30.6,28.6,14.7,90.8,64.2,59.7,670.0,2,1,0,0,1,0,0,25,0,0,45,0,0
9.3,59.7,59.2,9.2,573.0,5.8,22,15.74,30.4,28.4,10.4,89.9,61.6,56.6,605.0,0,0,1,1,0,0,0,0,15,90,0,0,0
31.5,90.6,51.2,23.0,1360.0,36.1,19,6.43,31.1,29.1,13.2,92.1,57.2,50.6,756.0,2,1,0,0,0,0,0,15,0,0,0,0,0
28.1,44.2,95.7,26.2,1038.0,27.6,1,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,1,0,0,0,0,15,25,0,0,0,0
40.3,76.5,58.3,18.7,658.0,31.8,8,1.24,31.9,29.9,8.5,86.1,63.3,51.6,755.0,3,2,1,0,0,0,0,15,10,0,0,0,0
13.7,79.8,90.5,31.1,1132.0,13.2,4,0.0,26.7,24.7,13.9,87.6,61.9,57.1,616.0,0,0,0,1,0,0,0,0,0,20,0,0,0
10.9,98.9,47.1,19.8,604.0,12.3,7,1.0,29.9,27.9,12.7,90.5,55.7,48.9,682.0,2,1,0,1,1,0,0,25,0,25,25,0,0
43.5,64.3,30.0,14.6,398.0,41.6,18,3.55,30.2,28.2,8.5,89.1,59.8,58.4,699.0,3,1,1,0,1,1,0,55,30,0,45,240,0
14.2,93.9,56.5,22.0,980.0,20.6,6,0.0,26.1,24.1,14.6,86.3,61.3,46.5,728.0,1,1,0,1,0,0,0,25,0,25,0,0,0
30.2,63.4,60.6,17.5,734.0,35.0,18,12.3,32.0,30.0,14.9,89.2,61.4,57.2,787.0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,84.4,38.5,22.9,599.0,25.2,23,7.68,28.5,26.5,12.5,88.3,62.5,46.7,666.0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.7,39.7,81.6,22.9,309.0,22.4,18,6.45,25.4,23.4,12.1,85.2,63.5,43.1,721.0,0,0,1,0,0,1,0,0,30,0,0,240,0
6.8,57.9,74.0,15.8,931.0,5.0,17,13.84,30.1,28.1,12.2,92.6,59.9,46.0,695.0,0,0,1,1,0,0,0,0,15,40,0,0,0
12.1,88.6,91.8,8.3,1691.0,11.5,5,0.0,28.3,26.3,12.2,87.0,55.4,44.5,691.0,1,1,0,1,0,0,0,15,0,90,0,0,0
27.0,40.1,85.5,16.1,792.0,28.1,5,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,0,0,0,0,0,25,0,0,0,0
23.9,68.1,40.9,20.4,886.0,23.8,23,19.02,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.9,88.0,46.8,11.6,1424.0,5.0,22,4.5,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,1,0,0,0,0,0,65,0,0,0
38.7,64.0,94.1,21.1,393.0,27.2,17,13.46,27.4,25.4,8.5,88.8,62.5,45.7,667.0,3,2,1,0,0,0,0,20,10,0,0,0,0
6.3,61.4,42.8,17.1,751.0,5.0,12,6.01,27.0,25.0,9.0,88.5,59.1,50.4,656.0,0,0,0,1,1,0,0,0,0,30,30,0,0
5.9,74.1,78.4,9.0,1471.0,5.0,0,0.0,25.2,23.2,11.6,87.8,59.2,42.0,757.0,0,0,0,1,0,0,0,0,0,90,0,0,0
29.6,92.9,55.5,23.9,779.0,23.9,0,0.0,26.0,24.0,10.4,92.9,55.2,49.1,769.0,2,1,0,0,0,0,0,15,0,0,0,0,0
9.3,91.7,39.6,24.6,712.0,11.6,21,3.53,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,0,0,0,15,0,30,0,0,0
11.3,58.7,47.9,17.1,701.0,23.6,7,0.43,26.4,24.4,12.8,86.5,61.7,45.3,671.0,0,0,1,1,0,0,0,0,15,25,0,0,0
18.7,45.6,58.1,14.3,442.0,15.5,16,3.06,30.2,28.2,8.9,91.5,64.4,52.1,742.0,0,0,1,0,0,1,1,0,25,0,0,240,20
18.6,56.3,22.4,20.1,563.0,19.6,23,12.04,26.7,24.7,9.9,85.3,57.8,43.9,676.0,0,0,1,0,1,0,0,0,15,0,40,0,0
42.2,41.1,97.5,20.0,375.0,42.3,18,13.24,30.4,28.4,13.4,91.8,64.0,48.7,753.0,3,1,1,0,0,0,0,50,30,0,0,0,0
12.8,91.5,53.6,22.9,729.0,10.0,7,0.85,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,1,0,0,0,15,0,15,0,0,0
21.5,88.6,36.3,23.0,928.0,36.0,6,0.0,28.5,26.5,10.9,87.1,60.0,43.0,670.0,1,1,0,0,1,0,0,15,0,0,30,0,0
42.2,42.5,61.8,22.5,347.0,42.9,7,0.62,28.0,26.0,12.0,90.0,60.0,50.0,700.0,3,1,1,0,0,0,0,60,30,0,0,0,0
22.7,45.2,23.6,10.1,664.0,27.1,6,0.0,25.8,23.8,14.6,92.2,56.9,46.5,718.0,0,0,1,1,1,0,0,0,20,80,40,0,0
19.2,64.4,49.5,24.4,1642.0,18.1,8,2.35,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,0,1,0,0,15,0,0,25,0,0
9.8,94.8,53.8,22.1,629.0,5.0,7,0.8,29.6,27.6,8.7,92.6,62.5,57.5,627.0,1,1,0,1,1,0,0,20,0,20,25,0,0
36.7,38.8,50.6,22.1,1089.0,40.9,8,2.63,28.7,26.7,13.4,88.0,60.9,59.3,704.0,3,1,1,0,1,0,0,40,25,0,30,0,0
27.2,49.1,86.4,18.3,636.0,19.1,1,0.0,30.1,28.1,14.1,90.0,61.1,55.1,768.0,0,0,1,0,0,0,0,0,20,0,0,0,0
13.0,54.0,95.7,15.7,788.0,12.0,0,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,0,0,0,0,0,15,0,0,0,0
15.1,92.8,40.2,25.2,1453.0,11.3,18,5.97,30.1,28.1,14.6,91.1,59.7,49.7,687.0,1,1,0,1,1,1,0,15,0,15,30,240,0
6.3,39.4,48.5,19.8,657.0,20.2,14,7.64,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,1,1,0,1,0,25,40,25,0,10
27.7,39.5,29.1,32.3,1378.0,29.4,22,17.2,27.6,25.6,13.8,86.1,59.3,53.8,774.0,2,1,1,0,1,0,0,15,25,0,45,0,0
25.0,99.3,27.5,23.5,341.0,22.3,21,7.48,25.2,23.2,8.4,91.8,57.3,51.0,685.0,2,1,0,0,1,0,0,25,0,0,45,0,0
11.0,91.7,65.0,21.9,1325.0,20.9,11,1.58,27.6,25.6,11.7,88.7,58.3,46.1,650.0,1,1,0,1,0,0,0,20,0,20,0,0,0
34.9,39.7,64.1,14.2,587.0,35.2,6,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,3,1,1,0,0,0,0,35,25,0,0,0,0
12.8,66.1,64.2,27.9,1440.0,11.8,1,0.0,28.9,26.9,12.2,91.3,62.5,57.9,761.0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,39.5,72.4,19.9,906.0,33.0,16,12.38,25.5,23.5,14.5,86.0,57.0,55.3,619.0,3,1,1,0,0,0,0,40,25,0,0,0,0
22.5,84.1,97.8,20.2,564.0,15.9,4,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2,41.6,37.7,15.2,998.0,22.6,15,11.61,29.1,27.1,12.6,90.8,61.4,55.8,725.0,1,1,1,0,1,0,0,15,25,0,40,0,0
18.5,64.0,86.7,26.5,716.0,13.8,23,9.35,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.4,41.9,43.1,15.3,607.0,7.6,14,12.87,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,1,0,1,0,1,0,25,0,30,0,10
6.4,79.4,93.9,20.8,522.0,5.5,16,11.6,25.4,23.4,14.5,92.1,60.2,51.0,642.0,0,0,0,1,0,0,1,0,0,50,0,0,10
7.3,56.0,62.0,29.7,1501.0,18.8,11,7.12,27.9,25.9,8.8,85.8,57.3,56.7,629.0,1,1,1,1,0,0,0,15,15,25,0,0,0
20.1,35.8,57.3,12.2,650.0,17.1,8,1.41,29.3,27.3,12.5,90.5,55.2,59.2,717.0,0,0,1,1,1,0,1,0,25,60,25,0,10
30.8,68.2,49.4,19.6,830.0,31.4,5,0.0,28.8,26.8,11.5,90.1,64.5,45.7,739.0,2,1,1,0,0,0,0,25,15,0,0,0,0
39.4,42.9,91.9,20.5,1546.0,39.1,6,0.0,32.0,30.0,8.1,89.5,62.5,56.5,709.0,3,1,1,0,0,0,0,35,25,0,0,0,0
7.6,65.7,55.6,20.1,1524.0,7.7,16,4.54,28.2,26.2,10.8,91.1,63.9,53.1,625.0,1,1,0,1,0,1,0,15,0,30,0,240,0
15.8,67.1,31.4,13.5,958.0,36.9,22,18.84,26.6,24.6,12.7,87.8,63.9,56.4,699.0,0,0,0,1,1,0,0,0,0,45,45,0,0
30.2,68.9,50.6,21.7,467.0,20.0,19,12.77,28.0,26.0,11.9,87.7,57.9,44.8,616.0,2,1,1,0,0,0,0,15,10,0,0,0,0
14.8,60.9,52.5,18.7,830.0,14.7,21,18.76,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,86.2,51.2,14.6,1400.0,21.6,20,12.89,29.0,27.0,8.7,86.8,63.4,47.9,679.0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,62.5,61.9,22.0,1497.0,21.0,13,11.54,28.3,26.3,13.7,91.0,58.4,56.0,771.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3,59.4,52.7,27.8,1535.0,5.0,16,15.14,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,1,1,0,0,0,15,15,20,0,0,0
14.1,67.7,97.2,19.2,1113.0,12.9,16,4.88,26.2,24.2,12.5,92.8,57.5,45.0,628.0,0,0,0,0,0,1,0,0,0,0,0,240,0
20.7,93.0,15.2,21.0,1110.0,15.9,7,1.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,1,1,0,0,1,0,0,20,0,0,45,0,0
8.7,89.9,29.5,15.0,588.0,5.0,3,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,1,1,0,0,0,0,30,40,0,0
26.0,77.4,91.3,21.3,739.0,27.7,12,8.65,30.1,28.1,13.9,85.6,63.8,56.0,774.0,0,0,0,0,0,0,1,0,0,0,0,0,10
